movieId,title,genres
1,Sabrina (1995),Comedy|Romance
2,Powder (1995),Drama|Sci-Fi
3,Carrington (1995),Drama|Romance
4,How to Make an American Quilt (1995),Drama|Romance
5,Seven (Se7en) (1995),Crime|Thriller
6,Eye for an Eye (1996),Drama|Thriller
7,"White Balloon, The (Badkonake Sefid ) (1995)",Drama
8,Heidi Fleiss: Hollywood Madam (1995),Documentary
9,Happiness Is in the Field (1995),Comedy
10,Anne Frank Remembered (1995),Documentary
11,If Lucy Fell (1996),Comedy|Romance
12,Flirting With Disaster (1996),Comedy
13,Pie in the Sky (1995),Comedy|Romance
14,Man of the Year (1995),Documentary
15,Congo (1995),Action|Adventure|Mystery|Sci-Fi
16,Jury Duty (1995),Comedy
17,Showgirls (1995),Drama
18,Species (1995),Horror|Sci-Fi
19,Unstrung Heroes (1995),Comedy|Drama
20,Waterworld (1995),Action|Adventure
21,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama
22,Exotica (1994),Drama
23,Kiss of Death (1995),Crime|Drama|Thriller
24,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance
25,"Madness of King George, The (1994)",Drama
26,Man of the House (1995),Comedy
27,Milk Money (1994),Comedy|Romance
28,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
29,Virtuosity (1995),Sci-Fi|Thriller
30,Bitter Moon (1992),Drama
31,Clear and Present Danger (1994),Action|Adventure|Thriller
32,Wes Craven's New Nightmare (1994),Horror
33,Brother Minister: The Assassination of Malcolm X (1994),Documentary
34,Federal Hill (1994),Drama
35,Black Beauty (1994),Adventure|Children's
36,Body Snatchers (1993),Horror|Sci-Fi|Thriller
37,"Bronx Tale, A (1993)",Drama
38,Cabin Boy (1994),Comedy
39,Dangerous Game (1993),Drama
40,Fearless (1993),Drama
41,"Firm, The (1993)",Drama|Thriller
42,In the Army Now (1994),Comedy|War
43,Life with Mikey (1993),Comedy
44,Mr. Wonderful (1993),Comedy|Romance
45,"Next Karate Kid, The (1994)",Action|Children's
46,No Escape (1994),Action|Sci-Fi
47,Shadowlands (1993),Drama|Romance
48,Naked in New York (1994),Comedy|Romance
49,"Little Rascals, The (1994)",Children's|Comedy
50,Dances with Wolves (1990),Adventure|Drama|Western
51,Tough and Deadly (1995),Action|Drama|Thriller
52,Love and a .45 (1994),Thriller
53,"Aristocats, The (1970)",Animation|Children's
54,Ed (1996),Comedy
55,Courage Under Fire (1996),Drama|War
56,"301, 302 (1995)",Mystery
57,Purple Noon (1960),Crime|Thriller
58,August (1996),Drama
59,Butterfly Kiss (1995),Thriller
60,"Quest, The (1996)",Action|Adventure
61,Twister (1996),Action|Adventure|Romance|Thriller
62,Stalingrad (1993),War
63,Marlene Dietrich: Shadow and Light (1996),Documentary
64,Spirits of the Dead (Tre Passi nel Delirio) (1968),Horror
65,Trainspotting (1996),Drama
66,Fled (1996),Action|Adventure
67,"Convent, The (Convento, O) (1995)",Drama
68,Eyes Without a Face (1959),Horror
69,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller
70,Celestial Clockwork (1994),Comedy
71,Lover's Knot (1996),Comedy
72,"Relic, The (1997)",Horror
73,"Island of Dr. Moreau, The (1996)",Sci-Fi|Thriller
74,Bulletproof (1996),Action
75,It Happened One Night (1934),Comedy
76,Lady of Burlesque (1943),Comedy|Mystery
77,"Blue Angel, The (Blaue Engel, Der) (1930)",Drama
78,Madagascar Skin (1995),Romance
79,Infinity (1996),Drama
80,Last Man Standing (1996),Action|Drama|Western
81,2 Days in the Valley (1996),Crime
82,Escape to Witch Mountain (1975),Adventure|Children's|Fantasy
83,Herbie Rides Again (1974),Adventure|Children's|Comedy
84,Homeward Bound: The Incredible Journey (1993),Adventure|Children's
85,Angels in the Outfield (1994),Children's|Comedy
86,So Dear to My Heart (1949),Children's|Drama
87,Alice in Wonderland (1951),Animation|Children's|Musical
88,"Innocents, The (1961)",Thriller
89,"Old Man and the Sea, The (1958)",Adventure|Drama
90,Platoon (1986),Drama|War
91,"Doors, The (1991)",Drama|Musical
92,"Return of the Pink Panther, The (1974)",Comedy
93,"Fog, The (1980)",Horror
94,Talking About Sex (1994),Comedy|Drama
95,Johnny 100 Pesos (1993),Action|Drama
96,Private Benjamin (1980),Comedy
97,Snowriders (1996),Documentary
98,Curtis's Charm (1995),Comedy|Drama
99,When We Were Kings (1996),Documentary
100,"Wrong Trousers, The (1993)",Animation|Comedy
101,Two or Three Things I Know About Her (1966),Drama
102,Dear God (1996),Comedy
103,Delicatessen (1991),Comedy|Sci-Fi
104,"Grifters, The (1990)",Crime|Drama|Film-Noir
105,Hear My Song (1991),Comedy
106,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War
107,Alien (1979),Action|Horror|Sci-Fi|Thriller
108,Army of Darkness (1993),Action|Adventure|Comedy|Horror|Sci-Fi
109,Stalker (1979),Mystery|Sci-Fi
110,Miller's Crossing (1990),Drama
111,Akira (1988),Adventure|Animation|Sci-Fi|Thriller
112,Indiana Jones and the Last Crusade (1989),Action|Adventure
113,"Room with a View, A (1986)",Drama|Romance
114,"Man Who Would Be King, The (1975)",Adventure
115,Parallel Sons (1995),Drama|Romance
116,Cat People (1982),Horror
117,Albino Alligator (1996),Crime|Thriller
118,Die Hard 2 (1990),Action|Thriller
119,Scream (1996),Horror|Thriller
120,Hearts and Minds (1996),Drama
121,Volcano (1997),Drama|Thriller
122,Breakdown (1997),Action|Thriller
123,Sprung (1997),Comedy
124,"Lost World: Jurassic Park, The (1997)",Action|Adventure|Sci-Fi|Thriller
125,Contact (1997),Drama|Sci-Fi
126,Picture Perfect (1997),Comedy|Romance
127,"Full Monty, The (1997)",Comedy
128,Hurricane Streets (1998),Drama
129,One Night Stand (1997),Drama
130,Boogie Nights (1997),Drama
131,Alien Escape (1995),Horror|Sci-Fi
132,Artemisia (1997),Drama
133,Midnight in the Garden of Good and Evil (1997),Comedy|Crime|Drama|Mystery
134,Half Baked (1998),Comedy
135,Dangerous Beauty (1998),Drama
136,Music From Another Room (1998),Drama|Romance
137,Night Flier (1997),Horror
138,Blues Brothers 2000 (1998),Action|Comedy|Musical
139,Love and Death on Long Island (1997),Comedy|Drama
140,Eden (1997),Drama
141,Slappy and the Stinkers (1998),Children's|Comedy
142,Nil By Mouth (1997),Drama
143,"I Love You, Don't Touch Me! (1998)",Drama|Romance
144,Mr. Nice Guy (1997),Action|Comedy
145,Junk Mail (1997),Comedy|Thriller
146,Sour Grapes (1998),Comedy
147,Lawn Dogs (1997),Drama
148,Little Boy Blue (1997),Drama
149,Resurrection Man (1998),Drama|Thriller
150,Smoke Signals (1998),Comedy|Drama
151,Whatever (1998),Drama
152,Wings (1927),Drama|Romance|War
153,Midnight Cowboy (1969),Drama
154,Chariots of Fire (1981),Drama
155,Terms of Endearment (1983),Comedy|Drama
156,Driving Miss Daisy (1989),Drama
157,Friday the 13th Part 2 (1981),Horror
158,Prom Night IV: Deliver Us From Evil (1992),Horror
159,Child's Play 3 (1992),Horror
160,Poltergeist (1982),Horror|Thriller
161,"Absent Minded Professor, The (1961)",Children's|Comedy|Fantasy
162,"Rapture, The (1991)",Drama|Mystery
163,"Barefoot Executive, The (1971)",Children's|Comedy
164,Hot Lead and Cold Feet (1978),Comedy|Western
165,Out of the Past (1947),Film-Noir
166,"Journey of Natty Gann, The (1985)",Adventure|Children's
167,Kidnapped (1960),Children's|Drama
168,"Muppet Christmas Carol, The (1992)",Children's|Musical
169,Grand Canyon (1991),Crime|Drama
170,Graveyard Shift (1990),Horror|Thriller
171,Autumn Sonata (H�stsonaten ) (1978),Drama
172,"Best Man, The (Il Testimone dello sposo) (1997)",Comedy|Drama
173,Your Friends and Neighbors (1998),Drama
174,Dirty Work (1998),Comedy
175,Rounders (1998),Crime|Drama
176,Class (1983),Comedy
177,Married to the Mob (1988),Comedy
178,Mortal Thoughts (1991),Mystery|Thriller
179,"Fiendish Plot of Dr. Fu Manchu, The (1980)",Comedy
180,Edward Scissorhands (1990),Drama|Romance
181,Holy Man (1998),Comedy
182,"Inheritors, The (Die Siebtelbauern) (1998)",Drama
183,Meet Joe Black (1998),Romance
184,Celebrity (1998),Comedy
185,"Celebration, The (Festen) (1998)",Drama
186,King Kong (1976),Action|Adventure|Horror
187,Fletch Lives (1989),Comedy
188,Patch Adams (1998),Comedy|Drama
189,In Dreams (1999),Thriller
190,"Texas Chainsaw Massacre, The (1974)",Horror
191,"Color of Money, The (1986)",Drama
192,"Last Days, The (1998)",Documentary
193,"Fantastic Planet, The (La Plan�te sauvage) (1973)",Animation|Sci-Fi
194,God Said 'Ha!' (1998),Comedy
