Cluster 0
Category Action: 10.0%
Category Adventure: 10.0%
Category Animation: 0.0%
Category Children's: 0.0%
Category Comedy: 30.0%
Category Crime: 0.0%
Category Documentary: 10.0%
Category Drama: 30.0%
Category Fantasy: 0.0%
Category Film-Noir: 0.0%
Category Horror: 0.0%
Category Musical: 0.0%
Category Mystery: 0.0%
Category Romance: 10.0%
Category Sci-Fi: 30.0%
Category Thriller: 0.0%
Category War: 10.0%
Category Western: 0.0%
Cluster 1
Category Action: 10.5263157895%
Category Adventure: 10.5263157895%
Category Animation: 0.0%
Category Children's: 5.26315789474%
Category Comedy: 42.1052631579%
Category Crime: 0.0%
Category Documentary: 0.0%
Category Drama: 31.5789473684%
Category Fantasy: 5.26315789474%
Category Film-Noir: 0.0%
Category Horror: 0.0%
Category Musical: 0.0%
Category Mystery: 0.0%
Category Romance: 10.5263157895%
Category Sci-Fi: 10.5263157895%
Category Thriller: 10.5263157895%
Category War: 5.26315789474%
Category Western: 0.0%
Cluster 2
Category Action: 0.0%
Category Adventure: 0.0%
Category Animation: 0.0%
Category Children's: 12.5%
Category Comedy: 12.5%
Category Crime: 12.5%
Category Documentary: 25.0%
Category Drama: 25.0%
Category Fantasy: 0.0%
Category Film-Noir: 0.0%
Category Horror: 12.5%
Category Musical: 0.0%
Category Mystery: 0.0%
Category Romance: 25.0%
Category Sci-Fi: 0.0%
Category Thriller: 12.5%
Category War: 0.0%
Category Western: 0.0%
Cluster 3
Category Action: 6.25%
Category Adventure: 6.25%
Category Animation: 0.0%
Category Children's: 12.5%
Category Comedy: 25.0%
Category Crime: 6.25%
Category Documentary: 18.75%
Category Drama: 25.0%
Category Fantasy: 0.0%
Category Film-Noir: 0.0%
Category Horror: 6.25%
Category Musical: 6.25%
Category Mystery: 0.0%
Category Romance: 12.5%
Category Sci-Fi: 12.5%
Category Thriller: 6.25%
Category War: 0.0%
Category Western: 0.0%
Cluster 4
Category Action: 0.0%
Category Adventure: 7.14285714286%
Category Animation: 0.0%
Category Children's: 7.14285714286%
Category Comedy: 42.8571428571%
Category Crime: 0.0%
Category Documentary: 0.0%
Category Drama: 42.8571428571%
Category Fantasy: 0.0%
Category Film-Noir: 0.0%
Category Horror: 0.0%
Category Musical: 0.0%
Category Mystery: 0.0%
Category Romance: 0.0%
Category Sci-Fi: 0.0%
Category Thriller: 14.2857142857%
Category War: 21.4285714286%
Category Western: 0.0%
Cluster 5
Category Action: 17.1428571429%
Category Adventure: 11.4285714286%
Category Animation: 2.85714285714%
Category Children's: 5.71428571429%
Category Comedy: 22.8571428571%
Category Crime: 5.71428571429%
Category Documentary: 5.71428571429%
Category Drama: 37.1428571429%
Category Fantasy: 2.85714285714%
Category Film-Noir: 2.85714285714%
Category Horror: 11.4285714286%
Category Musical: 2.85714285714%
Category Mystery: 5.71428571429%
Category Romance: 11.4285714286%
Category Sci-Fi: 20.0%
Category Thriller: 2.85714285714%
Category War: 2.85714285714%
Category Western: 0.0%
Cluster 6
Category Action: 3.7037037037%
Category Adventure: 11.1111111111%
Category Animation: 0.0%
Category Children's: 3.7037037037%
Category Comedy: 40.7407407407%
Category Crime: 0.0%
Category Documentary: 0.0%
Category Drama: 25.9259259259%
Category Fantasy: 0.0%
Category Film-Noir: 0.0%
Category Horror: 25.9259259259%
Category Musical: 0.0%
Category Mystery: 0.0%
Category Romance: 14.8148148148%
Category Sci-Fi: 7.40740740741%
Category Thriller: 14.8148148148%
Category War: 0.0%
Category Western: 7.40740740741%
Cluster 7
Category Action: 8.33333333333%
Category Adventure: 8.33333333333%
Category Animation: 8.33333333333%
Category Children's: 0.0%
Category Comedy: 41.6666666667%
Category Crime: 8.33333333333%
Category Documentary: 8.33333333333%
Category Drama: 16.6666666667%
Category Fantasy: 0.0%
Category Film-Noir: 0.0%
Category Horror: 0.0%
Category Musical: 0.0%
Category Mystery: 8.33333333333%
Category Romance: 0.0%
Category Sci-Fi: 8.33333333333%
Category Thriller: 16.6666666667%
Category War: 0.0%
Category Western: 0.0%
Cluster 8
Category Action: 25.0%
Category Adventure: 18.75%
Category Animation: 0.0%
Category Children's: 6.25%
Category Comedy: 6.25%
Category Crime: 6.25%
Category Documentary: 0.0%
Category Drama: 68.75%
Category Fantasy: 0.0%
Category Film-Noir: 0.0%
Category Horror: 12.5%
Category Musical: 0.0%
Category Mystery: 6.25%
Category Romance: 12.5%
Category Sci-Fi: 12.5%
Category Thriller: 25.0%
Category War: 12.5%
Category Western: 0.0%
Cluster 9
Category Action: 8.69565217391%
Category Adventure: 8.69565217391%
Category Animation: 4.34782608696%
Category Children's: 8.69565217391%
Category Comedy: 43.4782608696%
Category Crime: 8.69565217391%
Category Documentary: 8.69565217391%
Category Drama: 47.8260869565%
Category Fantasy: 0.0%
Category Film-Noir: 0.0%
Category Horror: 0.0%
Category Musical: 0.0%
Category Mystery: 0.0%
Category Romance: 13.0434782609%
Category Sci-Fi: 4.34782608696%
Category Thriller: 13.0434782609%
Category War: 0.0%
Category Western: 0.0%
Cluster 10
Category Action: 0.0%
Category Adventure: 0.0%
Category Animation: 16.6666666667%
Category Children's: 0.0%
Category Comedy: 0.0%
Category Crime: 0.0%
Category Documentary: 0.0%
Category Drama: 66.6666666667%
Category Fantasy: 0.0%
Category Film-Noir: 0.0%
Category Horror: 16.6666666667%
Category Musical: 0.0%
Category Mystery: 0.0%
Category Romance: 0.0%
Category Sci-Fi: 16.6666666667%
Category Thriller: 16.6666666667%
Category War: 0.0%
Category Western: 0.0%
Cluster 11
Category Action: 11.5384615385%
Category Adventure: 11.5384615385%
Category Animation: 3.84615384615%
Category Children's: 0.0%
Category Comedy: 23.0769230769%
Category Crime: 7.69230769231%
Category Documentary: 0.0%
Category Drama: 50.0%
Category Fantasy: 0.0%
Category Film-Noir: 3.84615384615%
Category Horror: 15.3846153846%
Category Musical: 0.0%
Category Mystery: 3.84615384615%
Category Romance: 3.84615384615%
Category Sci-Fi: 11.5384615385%
Category Thriller: 15.3846153846%
Category War: 0.0%
Category Western: 0.0%
